id,source,ambientTemp,latitude,longitude,time
2WWPseeM73PeBHhuWLq78Ti0BCw,,33,26.5,-80.19,2023-10-09T09:59:30.278Z
2WWPsi6Sb9jCxymcb5ZkLEP57fB,,29,38.59,-121.29,2023-10-09T09:59:30.443Z
2WWPsqGyu5emUKkY6dj2K2HKuaQ,,24,33.81,-117.78,2023-10-09T09:59:31.08Z
2WWPslwFW1TWlvzjLtUEPTaztYI,,8.5,43.65,-79.82,2023-10-09T09:59:31.737Z
2WWPsk8V5HdHi16BtamtoyLx0xp,,16,53.07,8.64,2023-10-09T09:59:31.736Z
2WWPskAHJdCAtvhQBWMH07o3R58,,11.5,57.66,11.87,2023-10-09T09:59:31.966Z
2WWPsxKRbqGUcnTmTv2rfJlfhdq,,16,38.6,-121.54,2023-10-09T09:59:32.068Z
2WWPssyDu4edXAYBjyo8NdapbHl,,19,51.38,7.39,2023-10-09T09:59:32.301Z
2WWPsrEpTmUgh3MC8kfBF8cAppT,,19.5,51.17,3.25,2023-10-09T09:59:32.449Z
2WWPsuGcXwi1JEKsB0Vm5rRZ8GI,,6.5,40.44,-74.87,2023-10-09T09:59:32.837Z
2WWPsvkGCl6iRIinlDTKugd7mn4,,10,40.73,-73.76,2023-10-09T09:59:32.837Z
2WWPsyD6lvaUCgVA09wydDMznxl,,24,32.96,-117.12,2023-10-09T09:59:33.337Z
2WWPt2vvqcLc0aYHFpTJZxQTALl,,30.5,33.97,-117.69,2023-10-09T09:59:33.341Z
2WWPt3SllE8PXrB2tyAlSRowsIl,,9,40.71,-73.56,2023-10-09T09:59:33.34Z
2WWPt41H80NgcsD8PhhJX0awVVM,,18.5,34.1,-118.07,2023-10-09T09:59:33.841Z
2WWPt8ljSertaQgdQQRfy0xII1b,,18.5,29.6,-98.51,2023-10-09T09:59:34.131Z
2WWPt7itOev87R36ucjB2OPpm7H,,10,52.62,11.85,2023-10-09T09:59:34.131Z
2WWPt9Qtm7vB0jdFKL18VXRKOUA,,25.5,38.54,-121.57,2023-10-09T09:59:34.634Z
2WWPtBQET5JXPFZibbFoU33rO4m,,19.5,42.09,-87.94,2023-10-09T09:59:34.637Z
2WWPt9EfVQoN4tCnLjwxfA1rLQl,,28.5,27.74,-82.43,2023-10-09T09:59:34.857Z
2WWPtJLNVzVfAxxeF6oS7YuWLz3,,21,27.55,-82.51,2023-10-09T09:59:35.057Z
2WWPtJ0cU3x0Xec3qdyBTCoOlo5,,22.5,35.83,-78.93,2023-10-09T09:59:35.137Z
2WWPtJJP6sZQoy8CNJFcGPXdRLn,,14,40.39,-111.85,2023-10-09T09:59:35.14Z
2WWPtGzWhD3iaFiKuXLrGcu1h37,,18,53.86,-1.53,2023-10-09T09:59:35.14Z
2WWPtJFQjtGsGNC5PQa2j2NQV5E,,29,33.26,-111.71,2023-10-09T09:59:35.346Z
2WWPtIutg9rsprG71z7vZGDKJRB,,12.5,47.85,-122.18,2023-10-09T09:59:35.346Z
